Assignment Id,Canvas Course Code,Assignment Title,Assignment Url,Assignment Categories,Is Required For Progression,Created At,Updated At
168550000000008551,LLP_PT_2010_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/497/assignments/8551,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000008552,LLP_PT_2010_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/497/assignments/8552,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000008553,LLP_PT_2010_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/497/assignments/8553,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000008554,LLP_PT_2010_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/497/assignments/8554,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000009216,LLP_FT_2010_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/509/assignments/9216,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000009282,LLP_FT_2010_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/509/assignments/9282,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000009286,LLP_FT_2010_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/509/assignments/9286,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000010658,LLP_FT_2011_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/642/assignments/10658,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000010659,LLP_FT_2011_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/642/assignments/10659,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000010660,LLP_FT_2011_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/642/assignments/10660,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000010779,LLP_PT_2011_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/645/assignments/10779,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000010780,LLP_PT_2011_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/645/assignments/10780,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000010781,LLP_PT_2011_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/645/assignments/10781,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000010782,LLP_PT_2011_CS,Behavioral Mock Interview Practice Reflection,https://lambdaschool.instructure.com/courses/645/assignments/10782,llp,,2020-12-03 18:21,2020-12-05 01:35
168550000000010233,WEB_2.4_WEBPT23,Build Week Project Submission,https://lambdaschool.instructure.com/courses/622/assignments/10233,build_weeks,,2020-12-03 18:21,2020-12-05 01:38
168550000000010235,WEB_2.4_WEBPT24        WEB Unit 2 Build - WEBPT24,Build Week Project Submission,https://lambdaschool.instructure.com/courses/634/assignments/10235,build_weeks,,2020-12-03 18:21,2020-12-05 01:38
168550000000010247,WEB_4.4J_WEB36,Build Week Project Submission,https://lambdaschool.instructure.com/courses/637/assignments/10247,build_weeks,,2020-12-03 18:21,2020-12-05 01:38
168550000000010256,WEB_4.4n_WEB36,Build Week Project Submission,https://lambdaschool.instructure.com/courses/638/assignments/10256,build_weeks,,2020-12-03 18:21,2020-12-05 01:38
168550000000010278,CS_3.4_CSPT13,Build Week Project Submission,https://lambdaschool.instructure.com/courses/616/assignments/10278,build_weeks,,2020-12-03 18:21,2020-12-05 01:38
